0.144338 2.852270934964946e-06 0.001477299357425553 0.4465971264339776 18
0.288675 1.898033532512379e-05 0.01459027542510486 0.4348721983157479 62
0.433013 6.410999932402797e-05 0.03895621531702174 0.3949058225584107 98
0.57735 0.0001575006214757346 0.1349414295896734 0.4740492253611827 210
0.721688 0.0003298931798916927 0.2912873127761755 0.5157345926882467 350
0.866025 0.0005049130459188737 0.4643874744386258 0.4659167395750686 450
1.01036 0.0002842938476087945 0.2076492393577124 0.1490941657952326 602
1.1547 8.576605110341695e-36 7.390730014582701e-33 3.471761446566586e-33 762
1.29904 1.008894091027915e-35 9.113759222591128e-33 2.806463037702902e-33 1142
1.44338 1.509934353550957e-35 1.212970407362316e-32 2.896724764006931e-33 1250
1.58771 1.504266433418226e-35 1.319181868897333e-32 2.354841418146471e-33 1458
1.73205 1.979706746198194e-35 1.655075838510675e-32 2.33226333159406e-33 1814
1.87639 2.26963532660224e-35 2.081271610657866e-32 2.163904290057049e-33 2178
2.02073 2.507611126906419e-35 2.342064644847067e-32 1.853682724950218e-33 2498
2.16506 3.207108120874652e-35 2.279513198887552e-32 1.809927452481917e-33 2622
2.3094 2.389556390020436e-35 2.536099164811158e-32 1.236617711737026e-33 3191
2.45374 2.332785016046281e-35 2.033573363137388e-32 1.045143913998803e-33 3044
2.59808 2.071219987109031e-35 1.867421205031791e-32 7.656327352481911e-34 2736
2.74241 2.566605260141577e-35 1.908234268602837e-32 7.685484407723203e-34 2276
2.88675 2.623321962100898e-35 2.271475172497436e-32 7.030170380076912e-34 2016
3.03109 2.776613727773955e-35 2.385341966549071e-32 6.420926909550616e-34 1640
3.17543 2.637410676951358e-35 2.085451108674686e-32 5.589919799921664e-34 1056
3.31976 2.542888634506319e-35 2.104168344671504e-32 4.744087447619912e-34 683
3.4641 2.953211519157068e-35 2.665347593337302e-32 4.521467924331786e-34 350
3.60844 3.498364047655001e-35 2.729639933581211e-32 4.782949492435856e-34 192
3.75278 2.687188925914913e-35 3.106050918041469e-32 4.034087160152427e-34 44
3.89711 2.969032957722014e-35 3.26451697663038e-32 3.399350154478826e-34 25


0.144338 -nan -nan -nan 18
0.288675 -nan -nan -nan 62
0.433013 -nan -nan -nan 98
0.57735 -nan -nan -nan 210
0.721688 -nan -nan -nan 350
0.866025 -nan -nan -nan 450
1.01036 -nan -nan -nan 602
1.1547 -nan -nan -nan 762
1.29904 -nan -nan -nan 1142
1.44338 -nan -nan -nan 1250
1.58771 -nan -nan -nan 1458
1.73205 -nan -nan -nan 1814
1.87639 -nan -nan -nan 2178
2.02073 -nan -nan -nan 2498
2.16506 -nan -nan -nan 2622
2.3094 -nan -nan -nan 3191
2.45374 -nan -nan -nan 3044
2.59808 -nan -nan -nan 2736
2.74241 -nan -nan -nan 2276
2.88675 -nan -nan -nan 2016
3.03109 -nan -nan -nan 1640
3.17543 -nan -nan -nan 1056
3.31976 -nan -nan -nan 683
3.4641 -nan -nan -nan 350
3.60844 -nan -nan -nan 192
3.75278 -nan -nan -nan 44
3.89711 -nan -nan -nan 25


0.144338 -nan -nan -nan 18
0.288675 -nan -nan -nan 62
0.433013 -nan -nan -nan 98
0.57735 -nan -nan -nan 210
0.721688 -nan -nan -nan 350
0.866025 -nan -nan -nan 450
1.01036 -nan -nan -nan 602
1.1547 -nan -nan -nan 762
1.29904 -nan -nan -nan 1142
1.44338 -nan -nan -nan 1250
1.58771 -nan -nan -nan 1458
1.73205 -nan -nan -nan 1814
1.87639 -nan -nan -nan 2178
2.02073 -nan -nan -nan 2498
2.16506 -nan -nan -nan 2622
2.3094 -nan -nan -nan 3191
2.45374 -nan -nan -nan 3044
2.59808 -nan -nan -nan 2736
2.74241 -nan -nan -nan 2276
2.88675 -nan -nan -nan 2016
3.03109 -nan -nan -nan 1640
3.17543 -nan -nan -nan 1056
3.31976 -nan -nan -nan 683
3.4641 -nan -nan -nan 350
3.60844 -nan -nan -nan 192
3.75278 -nan -nan -nan 44
3.89711 -nan -nan -nan 25


0.144338 -nan -nan -nan 18
0.288675 -nan -nan -nan 62
0.433013 -nan -nan -nan 98
0.57735 -nan -nan -nan 210
0.721688 -nan -nan -nan 350
0.866025 -nan -nan -nan 450
1.01036 -nan -nan -nan 602
1.1547 -nan -nan -nan 762
1.29904 -nan -nan -nan 1142
1.44338 -nan -nan -nan 1250
1.58771 -nan -nan -nan 1458
1.73205 -nan -nan -nan 1814
1.87639 -nan -nan -nan 2178
2.02073 -nan -nan -nan 2498
2.16506 -nan -nan -nan 2622
2.3094 -nan -nan -nan 3191
2.45374 -nan -nan -nan 3044
2.59808 -nan -nan -nan 2736
2.74241 -nan -nan -nan 2276
2.88675 -nan -nan -nan 2016
3.03109 -nan -nan -nan 1640
3.17543 -nan -nan -nan 1056
3.31976 -nan -nan -nan 683
3.4641 -nan -nan -nan 350
3.60844 -nan -nan -nan 192
3.75278 -nan -nan -nan 44
3.89711 -nan -nan -nan 25


0.144338 -nan -nan -nan 18
0.288675 -nan -nan -nan 62
0.433013 -nan -nan -nan 98
0.57735 -nan -nan -nan 210
0.721688 -nan -nan -nan 350
0.866025 -nan -nan -nan 450
1.01036 -nan -nan -nan 602
1.1547 -nan -nan -nan 762
1.29904 -nan -nan -nan 1142
1.44338 -nan -nan -nan 1250
1.58771 -nan -nan -nan 1458
1.73205 -nan -nan -nan 1814
1.87639 -nan -nan -nan 2178
2.02073 -nan -nan -nan 2498
2.16506 -nan -nan -nan 2622
2.3094 -nan -nan -nan 3191
2.45374 -nan -nan -nan 3044
2.59808 -nan -nan -nan 2736
2.74241 -nan -nan -nan 2276
2.88675 -nan -nan -nan 2016
3.03109 -nan -nan -nan 1640
3.17543 -nan -nan -nan 1056
3.31976 -nan -nan -nan 683
3.4641 -nan -nan -nan 350
3.60844 -nan -nan -nan 192
3.75278 -nan -nan -nan 44
3.89711 -nan -nan -nan 25


0.144338 -nan -nan -nan 18
0.288675 -nan -nan -nan 62
0.433013 -nan -nan -nan 98
0.57735 -nan -nan -nan 210
0.721688 -nan -nan -nan 350
0.866025 -nan -nan -nan 450
1.01036 -nan -nan -nan 602
1.1547 -nan -nan -nan 762
1.29904 -nan -nan -nan 1142
1.44338 -nan -nan -nan 1250
1.58771 -nan -nan -nan 1458
1.73205 -nan -nan -nan 1814
1.87639 -nan -nan -nan 2178
2.02073 -nan -nan -nan 2498
2.16506 -nan -nan -nan 2622
2.3094 -nan -nan -nan 3191
2.45374 -nan -nan -nan 3044
2.59808 -nan -nan -nan 2736
2.74241 -nan -nan -nan 2276
2.88675 -nan -nan -nan 2016
3.03109 -nan -nan -nan 1640
3.17543 -nan -nan -nan 1056
3.31976 -nan -nan -nan 683
