0.0228759 1.543581480088113e-08 4.315702373728907e-06 0.4466369936213925 18
0.0457518 1.027205694066746e-07 4.274791380227826e-05 0.434962712946438 62
0.0686277 3.469771738889062e-07 0.000113992783436006 0.3952698054594979 98
0.0915036 8.524836767172989e-07 0.0003952472254532007 0.4742798943133612 210
0.11438 1.785747664312015e-06 0.000853044116637342 0.5160900088514875 350
0.137255 2.73346617959641e-06 0.001360048719518539 0.466286685582776 450
0.160131 4.628905646805761e-06 0.002009876284879912 0.4681230491614936 602
0.183007 6.677970822317364e-06 0.003086360254001698 0.4656510960279927 762
0.205883 9.261904193623368e-06 0.005009742327694626 0.4879431495938025 1142
0.228759 1.279623056066638e-05 0.006597807761430969 0.4812971029461374 1250
0.251635 1.647773496462569e-05 0.008895310067834616 0.4761579781011839 1458
0.274511 2.342330244523743e-05 0.011278262194039 0.4969784073741869 1814
0.297387 2.841085280853206e-05 0.01457370522679095 0.4883905899226481 2178
0.320263 3.711926919950211e-05 0.01819804079130932 0.5030160567211682 2498
0.343139 4.586685631760236e-05 0.02351693676929153 0.5164714180866896 2622
0.366014 5.40800336849678e-05 0.02705018424468408 0.4988159414453054 3191
0.38889 6.396255100453532e-05 0.03142462986139137 0.4908916993033655 3044
0.411766 7.797899352417373e-05 0.0362350271693343 0.4968482400840087 2736
0.434642 8.950412724462571e-05 0.04419394543668766 0.4984782323354188 2276
0.457518 0.0001075371117747556 0.05016466154905593 0.5067230006490664 2016
0.480394 0.0001172172288425572 0.05631399635508545 0.4853593843988306 1640
0.50327 0.0001447652485089092 0.06410466058463538 0.5119680764910488 1056
0.526146 0.0001472259833480442 0.07585794452952357 0.4819025183529991 683
0.549022 0.0001769533276935499 0.07999198880712285 0.4937180151995268 350
0.571898 0.0002232901375510532 0.09529726701436733 0.5477390056587834 192
0.594773 0.0002825220022272542 0.09123124290897683 0.5821024018894007 44
0.617649 0.0001662721918836636 0.08085990581429507 0.3413413552630051 25


0.0228759 -nan -nan -nan 18
0.0457518 -nan -nan -nan 62
0.0686277 -nan -nan -nan 98
0.0915036 -nan -nan -nan 210
0.11438 -nan -nan -nan 350
0.137255 -nan -nan -nan 450
0.160131 -nan -nan -nan 602
0.183007 -nan -nan -nan 762
0.205883 -nan -nan -nan 1142
0.228759 -nan -nan -nan 1250
0.251635 -nan -nan -nan 1458
0.274511 -nan -nan -nan 1814
0.297387 -nan -nan -nan 2178
0.320263 -nan -nan -nan 2498
0.343139 -nan -nan -nan 2622
0.366014 -nan -nan -nan 3191
0.38889 -nan -nan -nan 3044
0.411766 -nan -nan -nan 2736
0.434642 -nan -nan -nan 2276
0.457518 -nan -nan -nan 2016
0.480394 -nan -nan -nan 1640
0.50327 -nan -nan -nan 1056
0.526146 -nan -nan -nan 683
0.549022 -nan -nan -nan 350
0.571898 -nan -nan -nan 192
0.594773 -nan -nan -nan 44
0.617649 -nan -nan -nan 25


0.0228759 -nan -nan -nan 18
0.0457518 -nan -nan -nan 62
0.0686277 -nan -nan -nan 98
0.0915036 -nan -nan -nan 210
0.11438 -nan -nan -nan 350
0.137255 -nan -nan -nan 450
0.160131 -nan -nan -nan 602
0.183007 -nan -nan -nan 762
0.205883 -nan -nan -nan 1142
0.228759 -nan -nan -nan 1250
0.251635 -nan -nan -nan 1458
0.274511 -nan -nan -nan 1814
0.297387 -nan -nan -nan 2178
0.320263 -nan -nan -nan 2498
0.343139 -nan -nan -nan 2622
0.366014 -nan -nan -nan 3191
0.38889 -nan -nan -nan 3044
0.411766 -nan -nan -nan 2736
0.434642 -nan -nan -nan 2276
0.457518 -nan -nan -nan 2016
0.480394 -nan -nan -nan 1640
0.50327 -nan -nan -nan 1056
0.526146 -nan -nan -nan 683
0.549022 -nan -nan -nan 350
0.571898 -nan -nan -nan 192
0.594773 -nan -nan -nan 44
0.617649 -nan -nan -nan 25


0.0228759 -nan -nan -nan 18
0.0457518 -nan -nan -nan 62
0.0686277 -nan -nan -nan 98
0.0915036 -nan -nan -nan 210
0.11438 -nan -nan -nan 350
0.137255 -nan -nan -nan 450
0.160131 -nan -nan -nan 602
0.183007 -nan -nan -nan 762
0.205883 -nan -nan -nan 1142
0.228759 -nan -nan -nan 1250
0.251635 -nan -nan -nan 1458
